Study Name,PI Name,HEAL Research Program,Core CDE Measures,Domain,Questionnaire
Integrated Treatment for Veterans with Co-Occurring Chronic Pain and Opioid Use Disorder,Katie Witkiewitz,ERN- Pain Management Effectiveness Research Network,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Harvard PRECISION Human Pain Center,William Renthal,PRECISION Human Pain- Program to Reveal and Evaluate Cells-to-gene Information that Specify Intricacies Origins and the Nature of Human Pain,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Addressing the chronic pain epidemic among older adults in underserved community center; The GetActive+ study,Ana-Maria Vranceanu,Health Equity in Pain Management,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Cancer Pain Management: A Technology-Based Intervention for Asian American Breast Cancer Survivors,Eun-Ok Im,Health Equity in Pain Management,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Development Evaluation and Translation of Robotic Apparel for Alleviating Low Back Pain,Conor Walsh,BACPAC- Back Pain Consortium Research Program,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Total-body PET for assessing myofascial pain,Abhijit Chaudhari,MPS- Myofascial Pain,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Wearable nanocomposite sensor system for diagnosing mechanical sources of low back pain and guiding rehabilitation,Anton Bowden,BACPAC- Back Pain Consortium Research Program,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Integrative Training Program for Pediatric Sickle Cell Pain,Soumitri Sil,Health Equity in Pain Management,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Development and identification of magnetic resonance electrophysiological and fiber-optic imaging biomarkers of myofascial pain,Song Hu,MPS- Myofascial Pain,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Understanding the Mechanistic Neurophysiological and Antinociceptive Effects of Transcutaneous Auricular Neurostimulation for Treatment of Chronic Pain,Denise Wilkes,Interdisciplinary Teams to Elucidate the Mechanisms of Device-Based Pain Relief,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Technology Research Site for Advanced Faster Quantitative Imaging for BACPAC,Sharmila Majumdar,BACPAC- Back Pain Consortium Research Program,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Comprehensive functional phenotyping of trigeminal neurons innervating temporomandibular joint (TMJ) tissues in male female and aged mice primates and humans with and without TMJ disorders (TMJD),Armen Akopian,RE JOIN- Restoring Joint Health and Function to Reduce Pain,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Focused Ultrasound Neuromodulation of Dorsal Root Ganglion for Noninvasive Mitigation of Low Back Pain,Lubdha  Shah,BACPAC- Back Pain Consortium Research Program,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
COMEBACK,Jeffrey Lotz,BACPAC- Back Pain Consortium Research Program,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
RM1 Project 1: Evaluating the specific role of endogenous opioids as the mechanism underlying tAN-based analgesia in healthy individuals,Bashar Badran,Interdisciplinary Teams to Elucidate the Mechanisms of Device-Based Pain Relief,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
RM1 Project 2: Determining the independent and synergistic effects of transcutaneous auricular neurostimulation (tAN) on direct brain activation in healthy individuals,Bashar Badran,Interdisciplinary Teams to Elucidate the Mechanisms of Device-Based Pain Relief,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Neural architecture of the murine and human temporomandibular joint,Christopher Donnelly,RE JOIN- Restoring Joint Health and Function to Reduce Pain,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Mapping the joint-nerve interactome of the knee,Anne-Marie Malfait,RE JOIN- Restoring Joint Health and Function to Reduce Pain,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Imaging Epigenetic Dysregulation in Patients with Low Back Pain,Hsiao-Ying Wey,BACPAC- Back Pain Consortium Research Program,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Development and Validation of a Noninvasive Multimodal Ultrasound-Based Imaging Biomarker for Myofascial Pain,Ajay Wasan,MPS- Myofascial Pain,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Proof of Concept Study to Treat Negative Affect in Chronic Low Back Pain,Ajay Wasan,BACPAC- Back Pain Consortium Research Program,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
SMART Stepped Care Management for Low Back Pain in Military Health System,Julie Fritz,BACPAC- Back Pain Consortium Research Program,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Randomized-controlled trial of virtual reality for chronic lower back pain to improve patient-reported outcomes and physical activity,Brennan Spiegel,BACPAC- Back Pain Consortium Research Program,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Stepped Care for Patients to Optimize Whole Recovery (SC-POWR),William Becker,IMPOWR- Integrative Management of chronic Pain and OUD for whole Recovery,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Pain Care At Home to Amplify Function (Pain CHAMP),William  Becker,IMPOWR- Integrative Management of chronic Pain and OUD for whole Recovery,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Intergrated Care for Chronic Pain and Opioid Use Disorder: The IMPOWR Research Center at Montefiore/Einstein (IMPOWR-ME),Joanna  Starrels,IMPOWR- Integrative Management of chronic Pain and OUD for whole Recovery,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Pain Response Evaluation of a Combined Intervention to Cope Effectively (PRECICE),Dennis Chua  Ang,ERN- Pain Management Effectiveness Research Network,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Transition from Acute to Chronic Pain After Thoracic Surgery,Chad  Brummett,A2CPS- Acute to Chronic Pain Signatures Program,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
SurgeryPal,Jennifer Rabbitts,ERN- Pain Management Effectiveness Research Network,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Fibromyalgia TENS in Physical Therapy Study (TIPS):an embedded pragmatic clinical trial,Kathleen  Sluka,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Non-pharmacological Options in postoperative Hospital-based And Rehabilitation pain Management (NOHARM) pragmatic clinical trial,Andrea Cheville,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Group-Based Mindfulness for Patients with Chronic Low Back Pain in the Primary Care,Natalia Morone,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Hybrid Effectiveness-Implementation Trial of Guided Relaxation and Acupuncture for Chronic Sickle Cell Disease Pain,Adrith  Doorenbos,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Pragmatic Trial of Acupuncture for Chronic Low Back Pain in Older Adults,Lynn Debar,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
RESOLVE- Tailored Non-Pharmacotherapy Services for Chronic Pain: Testing Scalable and Pragmatic Approaches,Lynn Debar,ERN- Pain Management Effectiveness Research Network,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Randomized Clinical Trial Intervention to Treat Chronic Pain Among Persons Maintained on Methadone for Opioid Use Disorder,Kelly  Dunn,IMPOWR- Integrative Management of chronic Pain and OUD for whole Recovery,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Mentoring in Discovery and Validation of Clinical Chronic Pain Biomarkers,Sean Mackey,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Discovery and Analytical Validation of Inflammatory Bio-Signatures of the Human Pain Experience,Alan Prossin,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
"Achieving Equity through SocioCulturally-informed Digitally-Enabled Cancer Pain managemeNT"" (ASCENT) Clinical Trial",Andrea Cheville,Health Equity in Pain Management,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Integrating Tailored Postoperative Opioid Tapering and Pain Management Support for Patients on Long-Term Opioid Use Presenting for Spine Surgery (MIRHIQL),Jennifer Hah,MIRHIQL - Multilevel Interventions to Reduce Harm and Improve Quality of Life for Patients on Long Term Opioid Therapy,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Pain management in advanced kidney disease,Jessica Ma,K12 - National K12 Clinical Pain Career Development,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Optimizing Patient-Centered Opioid Tapering with Mindfulness-Oriented Recovery Enhancement,Eric Garland,MIRHIQL - Multilevel Interventions to Reduce Harm and Improve Quality of Life for Patients on Long Term Opioid Therapy,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Sequential Trial of Adding Buprenorphine Cognitive Behavioral Treatment and Transcranial Magnetic Stimulation to Improve Outcomes of Long-Term Opioid Therapy for Chronic Pain (ACTION),Kelly Barth,MIRHIQL - Multilevel Interventions to Reduce Harm and Improve Quality of Life for Patients on Long Term Opioid Therapy,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Identifying multimodal biomarkers for autologous serum tears in the treatment of chronic postoperative ocular pain,Rony Sayegh,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
The Penn Human Precision Pain Center (HPPC): Discovery and Functional Evaluation of Human Primary Somatosensory Neuron Types at Normal and Chronic Pain Conditions,WENQIN LUO,PRECISION Human Pain- Program to Reveal and Evaluate Cells-to-gene Information that Specify Intricacies Origins and the Nature of Human Pain,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Advancing Rural Back Pain Outcomes with Rehabilitation Telehealth (ARBOR-Telehealth),Richard Skolasky,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Predictive biosignature for endoscopic therapy for chronic pancreatitis pain,Lisa  Doan,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Developing Radiocaine NaV imaging as a response monitoring biomarker for chronic pain,Braxton Norwood,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Mechanisms of Action of Peripheral Nerve Stimulation for the Treatment of Chronic Neuropathic Pain,Jennifer Hah,Interdisciplinary Teams to Elucidate the Mechanisms of Device-Based Pain Relief,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Peer suppoRt for adolescents and Emerging adults with Sickle cell pain: promoting ENgagement in Cognitive behavioral thErapy (PRESENCE),Charles Jonassaint,ERN- Pain Management Effectiveness Research Network,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Reaching Rural Veterans: Applying Mind-Body Skills for Pain Using a Whole Health Telehealth Intervention (RAMP),Diana Burgess,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
STREAM,Bridget Mueller,K12 - National K12 Clinical Pain Career Development,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
IMPACT: Integrative Mindfulness-Based Predictive Approach for Chronic low back pain Treatment,Jean King,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Adapting and Implementing a Nurse Care Management Model to Care for Rural Patients with Chronic Pain,Sebastian Tong,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Sensory Phenotyping to Enhance Neuropathic Pain Drug Development,Roy Freeman,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
SPRINT: Signature for Pain Recovery IN Teens,Laura Simons,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Patient Health Questionnaire- 2 (PHQ-2),Depression,PHQ
Discovery of the Biomarker Signature for Neuropathic Corneal Pain,Pedram Hamrah,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Patient Health Questionnaire- 2 (PHQ-2),Depression,PHQ
Biomarker Signature to Predict the Persistence of Post-Traumatic Headache,Catherine Chong,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Patient Health Questionnaire- 2 (PHQ-2),Depression,PHQ
Partners for Pain & Wellbeing Equity: A Randomized Trial of Community Supported Complementary and Integrative Health Self Management for Back Pain,Roni Evans,Health Equity in Pain Management,Patient Health Questionnaire- 2 (PHQ-2),Depression,PHQ
Human Nociceptor and Spinal Cord Molecular Signature Center,Ted  Price,PRECISION Human Pain- Program to Reveal and Evaluate Cells-to-gene Information that Specify Intricacies Origins and the Nature of Human Pain,Patient Health Questionnaire- 2 (PHQ-2),Depression,PHQ
EPPIC-Net: Platform Protocol to Assess Treatments for Painful Diabetic Peripheral Neuropathy,Jessica Robinson-Papp,EPPIC Net- Early Phase Pain Investigation Clinical Network,Patient Health Questionnaire- 2 (PHQ-2),Depression,PHQ
EPPIC-Net: Novaremed Painful Diabetic Peripheral Neuropathy ISA (EN21-01),Jessica Robinson-Papp,EPPIC Net- Early Phase Pain Investigation Clinical Network,Patient Health Questionnaire- 2 (PHQ-2),Depression,PHQ
A Study to Evaluate the Safety and Efficacy of CNTX-6970 in Subjects With Knee Osteoarthritis Pain.,Maurizio Fava,EPPIC Net- Early Phase Pain Investigation Clinical Network,Patient Health Questionnaire- 2 (PHQ-2),Depression,PHQ
